REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2015,59650.74661
REGION1,CO2,2016,57988.02367
REGION1,CO2,2017,56292.79987
REGION1,CO2,2018,54625.68174
REGION1,CO2,2019,52986.2767
REGION1,CO2,2020,51374.19718
REGION1,CO2,2021,49505.81839
REGION1,CO2,2022,47669.66975
REGION1,CO2,2023,45865.2935
REGION1,CO2,2024,44092.23781
REGION1,CO2,2025,42350.0567
REGION1,CO2,2026,40638.30999
REGION1,CO2,2027,38956.56321
REGION1,CO2,2028,37304.38754
REGION1,CO2,2029,35681.35972
REGION1,CO2,2030,34087.06202
REGION1,CO2,2031,32521.08214
REGION1,CO2,2032,30983.01315
REGION1,CO2,2033,29472.45343
REGION1,CO2,2034,27989.0066
REGION1,CO2,2035,26532.28146
REGION1,CO2,2036,25101.89193
REGION1,CO2,2037,23697.45696
REGION1,CO2,2038,22318.6005
REGION1,CO2,2039,20964.95142
REGION1,CO2,2040,19636.14347
REGION1,CO2,2041,18331.81518
REGION1,CO2,2042,17051.60984
REGION1,CO2,2043,15795.17542
REGION1,CO2,2044,14562.16454
REGION1,CO2,2045,13352.23435
REGION1,CO2,2046,12165.04655
REGION1,CO2,2047,11000.26728
REGION1,CO2,2048,9857.567096
REGION1,CO2,2049,8736.620887
REGION1,CO2,2050,7637.107845
REGION1,CO2,2051,6558.711402
REGION1,CO2,2052,5501.119177
REGION1,CO2,2053,4464.022925
REGION1,CO2,2054,3447.118486
REGION1,CO2,2055,2450.105734
REGION1,CO2,2056,1472.688525
REGION1,CO2,2057,514.5746497
REGION1,CO2,2058,0
REGION1,CO2,2059,0
REGION1,CO2,2060,0
REGION1,SEHO,2015,259.707204
REGION1,SEHO,2016,258.451164
REGION1,SEHO,2017,257.195124
REGION1,SEHO,2018,255.939084
REGION1,SEHO,2019,254.683044
REGION1,SEHO,2020,253.427004
REGION1,SEHO,2021,253.0334448
REGION1,SEHO,2022,252.6398856
REGION1,SEHO,2023,252.2463264
REGION1,SEHO,2024,251.8527672
REGION1,SEHO,2025,251.459208
REGION1,SEHO,2026,251.4340872
REGION1,SEHO,2027,251.4089664
REGION1,SEHO,2028,251.3838456
REGION1,SEHO,2029,251.3587248
REGION1,SEHO,2030,251.333604
REGION1,SEHO,2031,252.4054248
REGION1,SEHO,2032,253.4772456
REGION1,SEHO,2033,254.5490664
REGION1,SEHO,2034,255.6208872
REGION1,SEHO,2035,256.692708
REGION1,SEHO,2036,256.6843344
REGION1,SEHO,2037,256.6759608
REGION1,SEHO,2038,256.6675872
REGION1,SEHO,2039,256.6592136
REGION1,SEHO,2040,256.65084
REGION1,SEHO,2041,258.2334504
REGION1,SEHO,2042,259.8160608
REGION1,SEHO,2043,261.3986712
REGION1,SEHO,2044,262.9812816
REGION1,SEHO,2045,264.563892
REGION1,SEHO,2046,266.154876
REGION1,SEHO,2047,267.74586
REGION1,SEHO,2048,269.336844
REGION1,SEHO,2049,270.927828
REGION1,SEHO,2050,272.518812
REGION1,SEHO,2051,273.8814061
REGION1,SEHO,2052,275.2508131
REGION1,SEHO,2053,276.6270672
REGION1,SEHO,2054,278.0102025
REGION1,SEHO,2055,279.4002535
REGION1,SEHO,2056,280.5178545
REGION1,SEHO,2057,281.6399259
REGION1,SEHO,2058,282.7664856
REGION1,SEHO,2059,283.8975516
REGION1,SEHO,2060,285.0331418
REGION1,SEWI,2015,1353.6
REGION1,SEWI,2016,1353.6
REGION1,SEWI,2017,1353.6
REGION1,SEWI,2018,1353.6
REGION1,SEWI,2019,1353.6
REGION1,SEWI,2020,1353.6
REGION1,SEWI,2021,1353.6
REGION1,SEWI,2022,1353.6
REGION1,SEWI,2023,1353.6
REGION1,SEWI,2024,1353.6
REGION1,SEWI,2025,1353.6
REGION1,SEWI,2026,1353.6
REGION1,SEWI,2027,1353.6
REGION1,SEWI,2028,1353.6
REGION1,SEWI,2029,1353.6
REGION1,SEWI,2030,1353.6
REGION1,SEWI,2031,1353.6
REGION1,SEWI,2032,1353.6
REGION1,SEWI,2033,1353.6
REGION1,SEWI,2034,1353.6
REGION1,SEWI,2035,1353.6
REGION1,SEWI,2036,1353.6
REGION1,SEWI,2037,1353.6
REGION1,SEWI,2038,1353.6
REGION1,SEWI,2039,1353.6
