REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SEBFHPFH1,2015,4966.896226
REGION1,SEBFHPFH1,2016,4934.207329999999
REGION1,SEBFHPFH1,2017,4901.518433
REGION1,SEBFHPFH1,2018,4868.829537
REGION1,SEBFHPFH1,2019,4836.14064
REGION1,SEBFHPFH1,2020,4803.451744
REGION1,SEBFHPFH1,2021,4788.317995
REGION1,SEBFHPFH1,2022,4773.184247
REGION1,SEBFHPFH1,2023,4758.050498
REGION1,SEBFHPFH1,2024,4742.91675
REGION1,SEBFHPFH1,2025,4727.783002
REGION1,SEBFHPFH1,2026,4712.649253
REGION1,SEBFHPFH1,2027,4697.515504999999
REGION1,SEBFHPFH1,2028,4682.381756000001
REGION1,SEBFHPFH1,2029,4667.248008
REGION1,SEBFHPFH1,2030,4652.11426
REGION1,SEBFHPFH1,2031,4636.980511
REGION1,SEBFHPFH1,2032,4621.846763
REGION1,SEBFHPFH1,2033,4606.713014
REGION1,SEBFHPFH1,2034,4591.579266
REGION1,SEBFHPFH1,2035,4576.445518
REGION1,SEBFHPFH1,2036,4574.157295
REGION1,SEBFHPFH1,2037,4571.870215999999
REGION1,SEBFHPFH1,2038,4569.584281
REGION1,SEBFHPFH1,2039,4567.299489
REGION1,SEBFHPFH1,2040,4565.015839
REGION1,SEBFHPFH1,2041,4562.733331
REGION1,SEBFHPFH1,2042,4560.451965
REGION1,SEBFHPFH1,2043,4558.171739
REGION1,SEBFHPFH1,2044,4555.892653
REGION1,SEBFHPFH1,2045,4553.614706
REGION1,SEBFHPFH1,2046,4551.337899
REGION1,SEBFHPFH1,2047,4549.06223
REGION1,SEBFHPFH1,2048,4546.787699
REGION1,SEBFHPFH1,2049,4544.514305
REGION1,SEBFHPFH1,2050,4542.242048
REGION1,SEBFHPFH1,2051,4539.970927
REGION1,SEBFHPFH1,2052,4537.700941
REGION1,SEBFHPFH1,2053,4535.432091
REGION1,SEBFHPFH1,2054,4533.164375
REGION1,SEBFHPFH1,2055,4530.897793
REGION1,SEBFHPFH1,2056,4528.632344
REGION1,SEBFHPFH1,2057,4526.368028
REGION1,SEBFHPFH1,2058,4524.104844
REGION1,SEBFHPFH1,2059,4521.842791
REGION1,SEBFHPFH1,2060,4519.58187
REGION1,SEBMCCPH1,2015,4676.623663
REGION1,SEBMCCPH1,2016,4500.089005
REGION1,SEBMCCPH1,2017,4323.554348
REGION1,SEBMCCPH1,2018,4147.01969
REGION1,SEBMCCPH1,2019,3970.485033
REGION1,SEBMCCPH1,2020,3793.950375
REGION1,SEBMCCPH1,2021,3727.232613
REGION1,SEBMCCPH1,2022,3660.51485
REGION1,SEBMCCPH1,2023,3593.797088
REGION1,SEBMCCPH1,2024,3527.079325
REGION1,SEBMCCPH1,2025,3460.361563
REGION1,SEBMCCPH1,2026,3393.6438
REGION1,SEBMCCPH1,2027,3326.926038
REGION1,SEBMCCPH1,2028,3260.208275
REGION1,SEBMCCPH1,2029,3193.490513
REGION1,SEBMCCPH1,2030,3126.77275
REGION1,SEBMCCPH1,2031,3096.899125
REGION1,SEBMCCPH1,2032,3067.0255
REGION1,SEBMCCPH1,2033,3037.151875
REGION1,SEBMCCPH1,2034,3007.27825
REGION1,SEBMCCPH1,2035,2977.404625
REGION1,SEBMCCPH1,2036,2947.531
REGION1,SEBMCCPH1,2037,2917.657375
REGION1,SEBMCCPH1,2038,2887.78375
REGION1,SEBMCCPH1,2039,2857.910125
REGION1,SEBMCCPH1,2040,2828.0365
REGION1,SEBMCCPH1,2041,2800.15445
REGION1,SEBMCCPH1,2042,2772.2724
REGION1,SEBMCCPH1,2043,2744.39035
REGION1,SEBMCCPH1,2044,2716.5083
REGION1,SEBMCCPH1,2045,2688.62625
REGION1,SEBMCCPH1,2046,2660.7442
REGION1,SEBMCCPH1,2047,2632.86215
REGION1,SEBMCCPH1,2048,2604.9801
REGION1,SEBMCCPH1,2049,2577.09805
REGION1,SEBMCCPH1,2050,2549.216
REGION1,SEBMCCPH1,2051,2528.822272
REGION1,SEBMCCPH1,2052,2508.591694
REGION1,SEBMCCPH1,2053,2488.52296
REGION1,SEBMCCPH1,2054,2468.614777
REGION1,SEBMCCPH1,2055,2448.865858
REGION1,SEBMCCPH1,2056,2436.621529
REGION1,SEBMCCPH1,2057,2424.438421
REGION1,SEBMCCPH1,2058,2412.316229
REGION1,SEBMCCPH1,2059,2400.254648
REGION1,SEBMCCPH1,2060,2388.253375
REGION1,SEBMCHPH3,2015,3600.0
REGION1,SEBMCHPH3,2016,3528.1330309901737
REGION1,SEBMCHPH3,2017,3456.266061980348
REGION1,SEBMCHPH3,2018,3384.399092970521
REGION1,SEBMCHPH3,2019,3312.532123960695
REGION1,SEBMCHPH3,2020,3240.665154950869
REGION1,SEBMCHPH3,2021,3232.086923658352
REGION1,SEBMCHPH3,2022,3223.508692365835
REGION1,SEBMCHPH3,2023,3214.930461073318
REGION1,SEBMCHPH3,2024,3206.352229780801
REGION1,SEBMCHPH3,2025,3197.773998488284
REGION1,SEBMCHPH3,2026,3189.195767195767
REGION1,SEBMCHPH3,2027,3180.61753590325
REGION1,SEBMCHPH3,2028,3172.039304610733
REGION1,SEBMCHPH3,2029,3163.461073318216
REGION1,SEBMCHPH3,2030,3154.882842025699
REGION1,SEBMCHPH3,2031,3147.257747543462
REGION1,SEBMCHPH3,2032,3139.6326530612246
REGION1,SEBMCHPH3,2033,3132.0075585789878
