REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,SEBFHPFH1,SEBF,1,2015,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2016,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2017,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2018,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2019,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2020,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2021,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2022,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2023,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2024,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2025,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2026,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2027,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2028,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2029,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2030,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2031,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2032,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2033,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2034,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2035,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2036,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2037,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2038,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2039,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2040,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2041,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2042,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2043,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2044,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2045,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2046,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2047,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2048,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2049,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2050,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2051,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2052,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2053,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2054,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2055,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2056,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2057,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2058,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2059,1.538461538
REGION1,SEBFHPFH1,SEBF,1,2060,1.538461538
REGION1,SEBMCCPH1,SEBM,1,2015,2.857142857
REGION1,SEBMCCPH1,SEBM,1,2016,2.826254826
REGION1,SEBMCCPH1,SEBM,1,2017,2.795366795
