REGION,TECHNOLOGY,VALUE
REGION1,SEBFHPFH1,20.0
REGION1,SEBMCCPH1,30.0
REGION1,SEBMCHPH3,25.0
REGION1,SEBMCSPN2,35.0
REGION1,SEBMSTPH3,30.0
REGION1,SECOCHPH3,25.0
REGION1,SECOCSPN2,40.0
REGION1,SECOSTPH1,30.0
REGION1,SECOSTPH3,30.0
REGION1,SEGOCVPH2,40.0
REGION1,SEHFCCPH2,30.0
REGION1,SEHFCHPH3,25.0
REGION1,SEHFGCPH3,25.0
REGION1,SEHFGCPN3,25.0
REGION1,SEHFHPFH1,20.0
REGION1,SEHFHPPH2,20.0
REGION1,SEHFSTPH2,30.0
REGION1,SEHFSTPH3,30.0
REGION1,SEHYDMPH0,80.0
REGION1,SEHYDMPH1,80.0
REGION1,SEHYDMPH2,80.0
REGION1,SEHYDMPH3,80.0
REGION1,SEHYDSPH2,80.0
REGION1,SEHYDSPH3,80.0
REGION1,SENGCCPH2,30.0
REGION1,SENGCHPH3,25.0
REGION1,SENGCHPN3,25.0
REGION1,SENGCSPN2,30.0
REGION1,SENGFCFH1,5.0
REGION1,SENGGCPH2,25.0
REGION1,SENGGCPN2,25.0
REGION1,SENGHPFH1,20.0
REGION1,SENGHPPH2,20.0
REGION1,SENGSTPH2,30.0
REGION1,SENUG2PH3,50.0
REGION1,SENUG3PN3,60.0
REGION1,SEOCWVPH1,25.0
REGION1,SESODIFH1,25.0
REGION1,SESOUTPH2,25.0
REGION1,SEWIOFPH3,25.0
REGION1,SEWIOFPN2,25.0
REGION1,SEWIOFPN3,25.0
REGION1,SEWIONPH3,25.0
REGION1,SEWIONPN3,25.0
REGION1,SEWSCHPH2,25.0
REGION1,SEWSSTPH1,30.0
REGION1,SEstCO001,25.0
REGION1,SEstTG002,25.0
REGION1,SEstHY003,17.0
