REGION,FUEL,YEAR,VALUE
REGION1,SEE2,2015,464.8185360000001
REGION1,SEE2,2016,469.4072688
REGION1,SEE2,2017,473.9960016
REGION1,SEE2,2018,478.5847343999999
REGION1,SEE2,2019,483.1734672
REGION1,SEE2,2020,487.7622
REGION1,SEE2,2021,490.651092
REGION1,SEE2,2022,493.539984
REGION1,SEE2,2023,496.428876
REGION1,SEE2,2024,499.3177679999999
REGION1,SEE2,2025,502.2066599999999
REGION1,SEE2,2026,505.6147152
REGION1,SEE2,2027,509.0227704
REGION1,SEE2,2028,512.4308256
REGION1,SEE2,2029,515.8388808
REGION1,SEE2,2030,519.246936
REGION1,SEE2,2031,522.0437184
REGION1,SEE2,2032,524.8405008000001
REGION1,SEE2,2033,527.6372832
REGION1,SEE2,2034,530.4340656
REGION1,SEE2,2035,533.230848
REGION1,SEE2,2036,536.4714312
REGION1,SEE2,2037,539.7120143999999
REGION1,SEE2,2038,542.9525976
REGION1,SEE2,2039,546.1931807999999
REGION1,SEE2,2040,549.433764
REGION1,SEE2,2041,554.457924
REGION1,SEE2,2042,559.482084
REGION1,SEE2,2043,564.506244
REGION1,SEE2,2044,569.530404
REGION1,SEE2,2045,574.5545639999999
REGION1,SEE2,2046,579.0176928
REGION1,SEE2,2047,583.4808216
REGION1,SEE2,2048,587.9439504
REGION1,SEE2,2049,592.4070792
REGION1,SEE2,2050,596.870208
REGION1,SEE2,2051,599.2576888
REGION1,SEE2,2052,601.6547196
REGION1,SEE2,2053,604.0613385
REGION1,SEE2,2054,606.4775837999999
REGION1,SEE2,2055,608.9034942000001
REGION1,SEE2,2056,610.7302046
REGION1,SEE2,2057,612.5623952999999
REGION1,SEE2,2058,614.4000824
REGION1,SEE2,2059,616.2432827
REGION1,SEE2,2060,618.0920125
