REGION,TECHNOLOGY,YEAR,VALUE
REGION1,SEBM00X00,2015,292.6168127
REGION1,SEBM00X00,2016,294.2223668
REGION1,SEBM00X00,2017,295.8279208
REGION1,SEBM00X00,2018,297.4334749
REGION1,SEBM00X00,2019,299.039029
REGION1,SEBM00X00,2020,300.644583
REGION1,SEBM00X00,2021,303.8307378
REGION1,SEBM00X00,2022,307.0168926000001
REGION1,SEBM00X00,2023,310.2030474
REGION1,SEBM00X00,2024,313.3892022
REGION1,SEBM00X00,2025,316.575357
REGION1,SEBM00X00,2026,323.013839
REGION1,SEBM00X00,2027,329.452321
REGION1,SEBM00X00,2028,335.890803
REGION1,SEBM00X00,2029,342.3292849
REGION1,SEBM00X00,2030,348.7677669
REGION1,SEBM00X00,2031,351.3310096
REGION1,SEBM00X00,2032,353.8942523
REGION1,SEBM00X00,2033,356.457495
REGION1,SEBM00X00,2034,359.0207377
REGION1,SEBM00X00,2035,361.5839804
REGION1,SEBM00X00,2036,362.7217014
REGION1,SEBM00X00,2037,363.8594224
REGION1,SEBM00X00,2038,364.9971435
REGION1,SEBM00X00,2039,366.1348645
REGION1,SEBM00X00,2040,367.2725855
REGION1,SEBM00X00,2041,373.3699899
REGION1,SEBM00X00,2042,379.4673942
REGION1,SEBM00X00,2043,385.5647985
REGION1,SEBM00X00,2044,391.6622028
REGION1,SEBM00X00,2045,397.7596071
REGION1,SEBM00X00,2046,401.5816112
REGION1,SEBM00X00,2047,405.4036153
REGION1,SEBM00X00,2048,409.2256194
REGION1,SEBM00X00,2049,413.0476236
REGION1,SEBM00X00,2050,416.8696277
REGION1,SEBM00X00,2051,420.6214543
REGION1,SEBM00X00,2052,424.4070474
REGION1,SEBM00X00,2053,428.2267108
REGION1,SEBM00X00,2054,432.0807512
REGION1,SEBM00X00,2055,435.969478
REGION1,SEBM00X00,2056,438.1493254
REGION1,SEBM00X00,2057,440.340072
REGION1,SEBM00X00,2058,442.5417724
REGION1,SEBM00X00,2059,444.7544812
REGION1,SEBM00X00,2060,446.9782536
REGION1,SECO00X00,2015,8.79228
REGION1,SECO00X00,2016,7.829316
REGION1,SECO00X00,2017,6.866352
REGION1,SECO00X00,2018,5.903388
REGION1,SECO00X00,2019,4.940424
REGION1,SECO00X00,2020,3.97746
REGION1,SECO00X00,2021,3.97746
REGION1,SECO00X00,2022,3.97746
REGION1,SECO00X00,2023,3.97746
REGION1,SECO00X00,2024,3.97746
REGION1,SECO00X00,2025,3.97746
REGION1,SECO00X00,2026,3.181968
REGION1,SECO00X00,2027,2.386476
REGION1,SECO00X00,2028,1.590984
REGION1,SECO00X00,2029,0.795492
REGION1,SECO00X00,2030,0.0
REGION1,SECO00X00,2031,0.0
REGION1,SECO00X00,2032,0.0
REGION1,SECO00X00,2033,0.0
REGION1,SECO00X00,2034,0.0
REGION1,SECO00X00,2035,0.0
REGION1,SECO00X00,2036,0.0
REGION1,SECO00X00,2037,0.0
REGION1,SECO00X00,2038,0.0
REGION1,SECO00X00,2039,0.0
REGION1,SECO00X00,2040,0.0
REGION1,SECO00X00,2041,0.0
REGION1,SECO00X00,2042,0.0
REGION1,SECO00X00,2043,0.0
REGION1,SECO00X00,2044,0.0
REGION1,SECO00X00,2045,0.0
REGION1,SECO00X00,2046,0.0
REGION1,SECO00X00,2047,0.0
REGION1,SECO00X00,2048,0.0
REGION1,SECO00X00,2049,0.0
REGION1,SECO00X00,2050,0.0
REGION1,SECO00X00,2051,0.0
REGION1,SECO00X00,2052,0.0
REGION1,SECO00X00,2053,0.0
REGION1,SECO00X00,2054,0.0
REGION1,SECO00X00,2055,0.0
REGION1,SECO00X00,2056,0.0
REGION1,SECO00X00,2057,0.0
REGION1,SECO00X00,2058,0.0
REGION1,SECO00X00,2059,0.0
REGION1,SECO00X00,2060,0.0
REGION1,SEGO00X00,2015,0.0
REGION1,SEGO00X00,2016,0.0
REGION1,SEGO00X00,2017,0.0
REGION1,SEGO00X00,2018,0.0
REGION1,SEGO00X00,2019,0.0
REGION1,SEGO00X00,2020,0.0
REGION1,SEGO00X00,2021,0.0083736
REGION1,SEGO00X00,2022,0.0167472
REGION1,SEGO00X00,2023,0.0251208
REGION1,SEGO00X00,2024,0.0334944
REGION1,SEGO00X00,2025,0.041868
REGION1,SEGO00X00,2026,0.0753624
REGION1,SEGO00X00,2027,0.1088568
REGION1,SEGO00X00,2028,0.1423512
REGION1,SEGO00X00,2029,0.1758456
REGION1,SEGO00X00,2030,0.20934
REGION1,SEGO00X00,2031,0.2428344
REGION1,SEGO00X00,2032,0.2763288
REGION1,SEGO00X00,2033,0.3098232
REGION1,SEGO00X00,2034,0.3433176
REGION1,SEGO00X00,2035,0.376812
REGION1,SEGO00X00,2036,0.4103064
REGION1,SEGO00X00,2037,0.4438008
REGION1,SEGO00X00,2038,0.4772952
REGION1,SEGO00X00,2039,0.5107896
REGION1,SEGO00X00,2040,0.544284
REGION1,SEGO00X00,2041,0.5694048
REGION1,SEGO00X00,2042,0.5945256
REGION1,SEGO00X00,2043,0.6196464
REGION1,SEGO00X00,2044,0.6447672
REGION1,SEGO00X00,2045,0.669888
REGION1,SEGO00X00,2046,0.6782616
REGION1,SEGO00X00,2047,0.6866352
REGION1,SEGO00X00,2048,0.6950088000000001
REGION1,SEGO00X00,2049,0.7033824000000001
REGION1,SEGO00X00,2050,0.711756
REGION1,SEGO00X00,2051,0.71887356
REGION1,SEGO00X00,2052,0.7260622959999999
REGION1,SEGO00X00,2053,0.733322919
REGION1,SEGO00X00,2054,0.740656148
REGION1,SEGO00X00,2055,0.748062709
REGION1,SEGO00X00,2056,0.7555433359999999
REGION1,SEGO00X00,2057,0.76309877
REGION1,SEGO00X00,2058,0.770729757
REGION1,SEGO00X00,2059,0.778437055
REGION1,SEGO00X00,2060,0.786221425
REGION1,SEWS00X00,2015,186.1018993
REGION1,SEWS00X00,2016,183.8180836
REGION1,SEWS00X00,2017,181.534268
REGION1,SEWS00X00,2018,179.2504523
REGION1,SEWS00X00,2019,176.9666366
REGION1,SEWS00X00,2020,174.682821
REGION1,SEWS00X00,2021,173.280243
REGION1,SEWS00X00,2022,171.877665
REGION1,SEWS00X00,2023,170.475087
REGION1,SEWS00X00,2024,169.072509
REGION1,SEWS00X00,2025,167.669931
REGION1,SEWS00X00,2026,167.720989
REGION1,SEWS00X00,2027,167.772047
REGION1,SEWS00X00,2028,167.823105
REGION1,SEWS00X00,2029,167.8741631
REGION1,SEWS00X00,2030,167.9252211
REGION1,SEWS00X00,2031,165.8895152
REGION1,SEWS00X00,2032,163.8538093
REGION1,SEWS00X00,2033,161.8181034
REGION1,SEWS00X00,2034,159.7823975
REGION1,SEWS00X00,2035,157.7466916
REGION1,SEWS00X00,2036,155.1184698
REGION1,SEWS00X00,2037,152.490248
REGION1,SEWS00X00,2038,149.8620261
REGION1,SEWS00X00,2039,147.2338043
REGION1,SEWS00X00,2040,144.6055825
REGION1,SEWS00X00,2041,143.8170405
REGION1,SEWS00X00,2042,143.0284986
REGION1,SEWS00X00,2043,142.2399567
REGION1,SEWS00X00,2044,141.4514148
REGION1,SEWS00X00,2045,140.6628729
REGION1,SEWS00X00,2046,138.8589064
REGION1,SEWS00X00,2047,137.0549399
REGION1,SEWS00X00,2048,135.2509734
REGION1,SEWS00X00,2049,133.4470068
REGION1,SEWS00X00,2050,131.6430403
REGION1,SEWS00X00,2051,129.4051086
REGION1,SEWS00X00,2052,127.2052218
REGION1,SEWS00X00,2053,125.042733
REGION1,SEWS00X00,2054,122.9170066
REGION1,SEWS00X00,2055,120.8274174
REGION1,SEWS00X00,2056,118.5316965
REGION1,SEWS00X00,2057,116.2795943
REGION1,SEWS00X00,2058,114.070282
REGION1,SEWS00X00,2059,111.9029466
REGION1,SEWS00X00,2060,109.7767906
REGION1,SECOCHPH3,2015,9999999.0
REGION1,SECOCHPH3,2016,9999999.0
REGION1,SECOCHPH3,2017,9999999.0
REGION1,SECOCHPH3,2018,9999999.0
REGION1,SECOCHPH3,2019,9999999.0
REGION1,SECOCHPH3,2020,9999999.0
REGION1,SECOCHPH3,2021,0.0
REGION1,SECOCHPH3,2022,0.0
REGION1,SECOCHPH3,2023,0.0
REGION1,SECOCHPH3,2024,0.0
REGION1,SECOCHPH3,2025,0.0
REGION1,SECOCHPH3,2026,0.0
REGION1,SECOCHPH3,2027,0.0
REGION1,SECOCHPH3,2028,0.0
REGION1,SECOCHPH3,2029,0.0
REGION1,SECOCHPH3,2030,0.0
REGION1,SECOCHPH3,2031,0.0
REGION1,SECOCHPH3,2032,0.0
REGION1,SECOCHPH3,2033,0.0
REGION1,SECOCHPH3,2034,0.0
REGION1,SECOCHPH3,2035,0.0
REGION1,SECOCHPH3,2036,0.0
REGION1,SECOCHPH3,2037,0.0
REGION1,SECOCHPH3,2038,0.0
REGION1,SECOCHPH3,2039,0.0
REGION1,SECOCHPH3,2040,0.0
REGION1,SECOCHPH3,2041,0.0
REGION1,SECOCHPH3,2042,0.0
REGION1,SECOCHPH3,2043,0.0
REGION1,SECOCHPH3,2044,0.0
REGION1,SECOCHPH3,2045,0.0
REGION1,SECOCHPH3,2046,0.0
REGION1,SECOCHPH3,2047,0.0
REGION1,SECOCHPH3,2048,0.0
REGION1,SECOCHPH3,2049,0.0
REGION1,SECOCHPH3,2050,0.0
REGION1,SECOCHPH3,2051,0.0
REGION1,SECOCHPH3,2052,0.0
REGION1,SECOCHPH3,2053,0.0
REGION1,SECOCHPH3,2054,0.0
REGION1,SECOCHPH3,2055,0.0
REGION1,SECOCHPH3,2056,0.0
REGION1,SECOCHPH3,2057,0.0
REGION1,SECOCHPH3,2058,0.0
REGION1,SECOCHPH3,2059,0.0
REGION1,SECOCHPH3,2060,0.0
REGION1,SECOSTPH1,2015,9999999.0
REGION1,SECOSTPH1,2016,9999999.0
